chrID	start	end	gene name	strand
chr19	50643577	50645577	SNAR-D	-
chr4	184363743	184365743	CDKN2AIP	+
chr2	78182152	78184152	SNAR-H	-
chr5	129238522	129240522	CHSY3	+
chr15	101792137	101794137	CHSY1	-
chr4	48908845	48910845	OCIAD2	-
chr4	48831059	48833059	OCIAD1	+
chr1	247095280	247097280	AHCTF1	-
chr19	54226695	54228695	MIR516B2	+
chr19	54238098	54240098	MIR516B1	+
chr12	2376941	2378941	CACNA1C-IT3	+
chr12	2155517	2157517	CACNA1C-IT2	+
chr22	46729297	46731297	TRMU	+
chr7	111446560	111448560	DOCK4-AS1	+
chr1	87168252	87170252	SH3GLB1	+
chr9	131790632	131792632	SH3GLB2	-
chr19	16653263	16655263	CHERP	-
chr9	100684852	100686852	TRMO	-
chr14	96115514	96117514	TCL6	+
chr10	26222639	26224639	LOC101929073	-
chr15	68131217	68133217	LOC101929076	-
chr4	100008007	100010007	LOC100507053	+
chr16	81565506	81567506	MIR7854	+
chr20	22401281	22403281	LOC284788	-
chr20	61297973	61299973	SLCO4A1-AS1	-
chr1	111768280	111770280	CHI3L2	+
chr4	185937994	185939994	HELT	+
chr4	84377036	84379036	HELQ	-
chr1	203155922	203157922	CHI3L1	-
chr1	36235551	36237551	CLSPN	-
chr17	65241319	65243319	HELZ	-
chr17	80315122	80317122	TEX19	+
chr12	66694324	66696324	HELB	+
chr7	5083552	5085552	RBAK	+
chr16	29458347	29460347	SMG1P6	-
chr16	70259936	70261936	SMG1P7	-
chr16	30346695	30348695	SMG1P5	-
chr16	29606413	29608413	SMG1P2	-
chr16	21513602	21515602	SMG1P3	-
chr16	22446328	22448328	SMG1P1	+
chr17	6735060	6737060	TEKT1	-
chr17	15244958	15246958	TEKT3	-
chr1	36547675	36549675	TEKT2	+
chr16	10788802	10790802	TEKT5	-
chr2	95535177	95537177	TEKT4	+
chr15	79042378	79044378	LOC646938	+
chr17	2614927	2616927	CLUH	-
chr3	128995683	128997683	HMCES	+
chr14	75743480	75745480	FOS	+
chr1	19921470	19923470	MINOS1-NBL1	+
chr1	39873175	39875175	KIAA0754	+
chr17	6544247	6546247	KIAA0753	-
chr19	5622938	5624938	SAFB2	-
chr19	54960216	54962216	LENG8-AS1	-
chr22	30868034	30870034	SEC14L3	-
chr22	30790929	30792929	SEC14L2	+
chr17	75135004	75137004	SEC14L1	+
chr22	30942669	30944669	SEC14L6	-
chr16	5006317	5008317	SEC14L5	+
chr22	30901698	30903698	SEC14L4	-
chr6	5002049	5004049	LYRM4-AS1	+
chr19	18940743	18942743	UPF1	+
chr12	4385350	4387350	CCND2-AS1	-
chr10	12084840	12086840	UPF2	-
chr2	241936254	241938254	SNED1	+
chr2	113542975	113544975	IL1A	-
chr2	113594356	113596356	IL1B	-
chr10	38084103	38086103	ZNF33BP1	-
chr14	105886076	105888076	LOC100507437	-
chr10	28031543	28033543	MKX-AS1	+
chr12	52845910	52847910	KRT6B	-
chr12	52867569	52869569	KRT6C	-
chr12	52887181	52889181	KRT6A	-
chr19	18902114	18904114	COMP	-
chr22	19936459	19938459	COMT	+
chr17	19620043	19622043	SLC47A2	-
chr19	58220579	58222579	ZNF154	-
chr11	117160061	117162061	BACE1-AS	+
chr21	39491544	39493544	DSCR8	+
chr11	112034840	112036840	IL18	-
chr1	206970214	206972214	IL19	+
chr1	206945839	206947839	IL10	-
chr19	55881831	55883831	IL11	-
chr5	131991864	131993864	IL13	+
chr4	142555748	142557748	IL15	+
chr15	81587253	81589253	IL16	+
chr8	47529265	47531265	ASNSP1	-
chr1	15734390	15736390	EFHD2	+
chr2	233496206	233498206	EFHD1	+
chr8	10697409	10699409	PINX1	-
chr1	159172212	159174212	CADM3-AS1	-
chr7	44141959	44143959	AEBP1	+
chr22	23410539	23412539	GNAZ	+
chr12	19590607	19592607	AEBP2	+
chr12	96429439	96431439	LTA4H	-
chr5	14710802	14712802	LOC100130744	+
chr6	79941390	79943390	HMGN3-AS1	+
chr14	51336877	51338877	ABHD12B	+
chr12	65951091	65953091	LOC105369187	-
chr13	22033509	22035509	ZDHHC20	-
chr9	14693480	14695480	ZDHHC21	-
chr14	77608134	77610134	ZDHHC22	-
chr3	113664747	113666747	ZDHHC23	+
chr11	66313709	66315709	ZDHHC24	-
chrY	27175049	27177049	BPY2B	+
chrY	27175049	27177049	BPY2C	+
chr2	130885195	130887195	MED15P9	+
chr5	50676957	50678957	ISL1	+
chr15	76627064	76629064	ISL2	+
chr4	83822069	83824069	THAP9-AS1	-
chr1	170902635	170904635	MROH9	+
chr20	35807991	35809991	MROH8	-
chr1	170043879	170045879	KIFAP3	-
chr8	142517330	142519330	MROH5	-
chr11	60143957	60145957	MS4A7	+
chr1	55105412	55107412	MROH7	+
chr8	144654928	144656928	MROH6	-
chr11	59854136	59856136	MS4A2	+
chr11	59822100	59824100	MS4A3	+
chr11	60221281	60223281	MS4A1	+
chr4	329567	331567	ZNF141	+
chr12	133654788	133656788	ZNF140	+
chr11	9480511	9482511	ZNF143	+
chr2	219524263	219526263	ZNF142	-
chr10	98062084	98064084	DNTT	+
chr19	36703503	36705503	ZNF146	+
chr3	125094198	125096198	ZNF148	-
chr18	28682395	28684395	DSC2	-
chr9	135545788	135547788	DDX31	-
chr18	28742819	28744819	DSC1	-
chr1	53704282	53706282	MAGOH	-
chr6	160114360	160116360	SOD2	-
chr4	24795084	24797084	SOD3	+
chr13	42535221	42537221	VWA8	-
chr21	33029934	33031934	SOD1	+
chr6	31745108	31747108	VWA7	-
chr10	115997012	115999012	VWA2	+
chr22	41682255	41684255	RANGAP1	-
chr1	1368902	1370902	VWA1	+
chr19	44285409	44287409	KCNN4	-
chr15	102380321	102382321	OR4F13P	+
chr5	113696015	113698015	KCNN2	+
chr19	18060110	18062110	KCNN1	+
chr10	54073888	54075888	PRKG1-AS1	-
chr15	74464904	74466904	ISLR	+
chr20	43158421	43160421	PKIG	+
chr8	79426335	79428335	PKIA	+
chr6	122791061	122793061	PKIB	+
chr3	100051561	100053561	NIT2	+
chr1	161085861	161087861	NIT1	+
chr2	86420231	86422231	MIR4779	-
chr2	66585460	66587460	MIR4778	-
chr16	3074287	3076287	HCFC1R1	-
chr2	208617530	208619530	MIR4775	+
chr2	169437452	169439452	MIR4774	+
chr2	232225418	232227418	MIR4777	+
chr15	41408444	41410444	INO80	-
chr2	103046748	103048748	MIR4772	+
chr16	70206075	70208075	CLEC18C	+
chr19	56987492	56989492	ZNF667-AS1	+
chr11	66247720	66249720	LOC101928069	-
chr1	245134171	245136171	LOC101928068	-
chr2	211036094	211038094	KANSL1L	-
chr19	44507022	44509022	LOC101928063	-
chr8	145691031	145693031	CYHR1	-
chr1	54517244	54519244	TCEANC2	+
chr6	1233001	1235001	HLA-F-AS1	-
chr1	207816457	207818457	CR1L	+
chr6	17707065	17709065	NUP153	-
chr7	143655019	143657019	OR2F1	+
chr5	37371228	37373228	NUP155	-
chr10	108924466	108926466	SORCS1	-
chr4	7192373	7194373	SORCS2	+
chr10	106398858	106400858	SORCS3	+
chr13	111358527	111360527	CARS2	-
chrX	48980151	48982151	GPKOW	-
chr22	31125543	31127543	MIR3200	+
chr22	48668175	48670175	MIR3201	+
chr12	7939991	7941991	NANOG	+
chr4	110747149	110749149	RRH	+
chr16	30134630	30136630	MAPK3	-
chr22	22221970	22223970	MAPK1	-
chr15	52309410	52311410	MAPK6	+
chr16	81270295	81272295	BCO1	+
chr11	112045088	112047088	BCO2	+
chr10	49512681	49514681	MAPK8	+
chr3	150419761	150421761	ERICH6-AS1	+
chr10	124605691	124607691	CUZD1	-
chr19	13213974	13215974	LYL1	-
chrX	39956719	39958719	BCOR	-
chr2	98701594	98703594	VWA3B	+
chr2	88467813	88469813	THNSL2	+
chr10	25303507	25305507	THNSL1	+
chr16	22101858	22103858	VWA3A	+
chr17	32610686	32612686	CCL11	+
chr17	32681470	32683470	CCL13	+
chr17	34313764	34315764	CCL14	-
chr17	34329084	34331084	CCL15	-
chr1	46152302	46154302	GPBP1L1	-
chr16	57436678	57438678	CCL17	+
chr17	34389631	34391631	CCL18	+
chr9	34691274	34693274	CCL19	-
chr8	22102556	22104556	MIR320A	-
chr3	195581099	195583099	LINC01983	-
chr17	40428424	40430424	STAT5B	-
chr3	27875627	27877627	LINC01981	-
chr17	75724641	75726641	LINC01987	-
chr3	63430	65430	LINC01986	+
chr17	32510651	32512651	LINC01989	-
chr3	44467413	44469413	LINC01988	+
chr1	217958462	217960462	SPATA17-AS1	-
chr1	112280462	112282462	FAM212B-AS1	+
chr1	899876	901876	PLEKHN1	+
chr14	94857029	94859029	SERPINA1	-
chr14	94833039	94835039	SERPINA2	-
chr14	95076713	95078713	SERPINA3	+
chr14	95025756	95027756	SERPINA4	+
chr14	95045705	95047705	SERPINA5	+
chr14	94789688	94791688	SERPINA6	-
chrX	105282718	105284718	SERPINA7	-
chr14	94942670	94944670	SERPINA9	-
chr7	129691291	129693291	ZC3HC1	-
chr16	2846533	2848533	SNORA3C	-
chr11	8704985	8706985	SNORA3B	+
chr11	8703773	8705773	SNORA3A	+
chr11	46297188	46299188	CREB3L1	+
chr6	133136357	133138357	SNORA33	+
chr11	93464265	93466265	SNORA32	-
chr13	45911744	45913744	SNORA31	-
chr16	30719857	30721857	SNORA30	+
chr18	51748782	51750782	SNORA37	-
chrX	113863258	113865258	SNORA35	+
chr6	31588855	31590855	SNORA38	+
chr10	132891480	132893480	TCERG1L-AS1	+
chr10	38462598	38464598	LOC100129055	+
chr10	78898588	78900588	KCNMA1-AS2	+
chr10	79108629	79110629	KCNMA1-AS3	+
chr10	78645801	78647801	KCNMA1-AS1	+
chrX	49158124	49160124	GAGE10	+
chrX	49186080	49188080	GAGE13	+
chr5	150018206	150020206	SYNPO	+
chr17	8151413	8153413	CTC1	-
chr12	48864447	48866447	ANP32D	+
chr1	150208504	150210504	ANP32E	-
chr9	100743488	100745488	ANP32B	+
chr4	165118863	165120863	ANP32C	-
chr15	69113261	69115261	ANP32A	-
chr1	213020991	213022991	SPATA45	-
chr1	162346644	162348644	SPATA46	-
chr10	100995632	100997632	HPSE2	-
chr15	100890923	100892923	SPATA41	-
chr1	109397838	109399838	SPATA42	+
chr16	71610998	71612998	TAT	-
chr11	57194621	57196621	SLC43A3	-
chr3	138725110	138727110	PRR23A	-
chr2	73610885	73612885	ALMS1	+
chr3	138763734	138765734	PRR23C	-
chr3	138739768	138741768	PRR23B	-
chr10	116851123	116853123	ATRNL1	+
chr12	57146146	57148146	PRIM1	-
chr11	57282358	57284358	SLC43A1	-
chr1	41220955	41222955	MIR30C1	+
chr6	57180414	57182414	PRIM2	+
chr16	4000445	4002445	LOC102724927	-
chr17	8022234	8024234	ALOXE3	-
chr12	40785195	40787195	MUC19	+
chr7	100661363	100663363	MUC17	+
chr19	9092018	9094018	MUC16	-
chr11	26593815	26595815	MUC15	-
chr3	124653595	124655595	MUC13	-
chr7	100610903	100612903	MUC12	+
chr17	48227878	48229878	PPP1R9B	-
chr11	4508108	4510108	OR52K1	+
chr11	4468524	4470524	OR52K2	+
chr17	37842336	37844336	ERBB2	+
chrX	16735706	16737706	SYAP1	+
chrX	129519511	129521511	GPR119	-
chr16	67594309	67596309	CTCF	+
chr1	248221983	248223983	OR2L3	+
chr11	64511630	64513630	RASGRP2	-
chr2	33699320	33701320	RASGRP3	+
chrX	32659676	32661676	MIR548F5	-
chr15	38857007	38859007	RASGRP1	-
chr1	109847529	109849529	MIR548F3	+
chr2	213291084	213293084	MIR548F2	-
chr10	56367717	56369717	MIR548F1	-
chr7	110729061	110731061	LRRN3	+
chr2	219722545	219724545	WNT6	+
chr4	144750501	144752501	LOC105377458	-
chr4	46911252	46913252	COX7B2	-
chr22	29136019	29138019	HSCB	+
chrX	146331748	146333748	MIR514B	-
chr8	101014809	101016809	SNORD77B	+
chr3	98451495	98453495	ST3GAL6-AS1	-
chr18	47086400	47088400	LIPG	+
chr20	30637990	30639990	HCK	+
chr7	42951689	42953689	C7orf25	-
chr7	6627651	6629651	C7orf26	+
chr19	9649321	9651321	ZNF426	-
chr7	148823438	148825438	ZNF425	-
chr16	49856649	49858649	ZNF423	-
chr19	37567123	37569123	ZNF420	+
chr19	44124014	44126014	ZNF428	-
chr19	21686353	21688353	ZNF429	+
chr16	30773565	30775565	CCDC189	-
chr10	86958661	86960661	LINC01519	-
chr17	77681058	77683058	MIR4739	-
chrX	23311263	23313263	PTCHD1-AS	-
chr5	1380188	1382188	LINC01511	-
chr6	43856764	43858764	LINC01512	+
chr17	55822690	55824690	CCDC182	-
chr4	113150894	113152894	AP1AR	+
chr10	67329182	67331182	LINC01515	+
chr10	25399986	25401986	LINC01516	+
chr10	29030578	29032578	LINC01517	+
chr14	24701576	24703576	NEDD8	-
chr6	11232915	11234915	NEDD9	-
chr3	150996230	150998230	P2RY14	-
chrX	24666189	24668189	PCYT1B-AS1	+
chr15	56209329	56211329	NEDD4	-
chr19	10220196	10222196	P2RY11	+
chr3	151102600	151104600	P2RY12	-
chr3	151047337	151049337	P2RY13	-
chr9	130024755	130026755	GARNL3	+
chr10	47084724	47086724	CH17-360D5.1	+
chr10	105879815	105881815	SFR1	+
chr12	122708988	122710988	LOC101593348	+
chr2	208981852	208983852	LOC100507443	+
chrX	72158798	72160798	FAM236B	-
chr21	44561202	44563202	LOC106780825	-
chr1	201915716	201917716	LMOD1	-
chr3	69171746	69173746	LMOD3	-
chr7	123293860	123295860	LMOD2	+
chr8	126010440	126012440	LOC105375744	-
chr11	55682058	55684058	OR5W2	-
chr3	15641251	15643251	BTD	+
chrY	24329155	24331155	RBMY1J	-
chr22	18463727	18465727	MIR648	-
chr22	21388561	21390561	MIR649	-
chr20	49200322	49202322	MIR645	+
chr20	58881531	58883531	MIR646	+
chr20	62574079	62576079	MIR647	-
chr9	66553911	66555911	LOC403323	-
chr19	40788548	40790548	MIR641	-
chr19	52783049	52785049	MIR643	+
chr13	44721871	44723871	LINC00390	-
chr13	74136380	74138380	LINC00392	+
chr13	64312151	64314151	LINC00395	-
chr12	13130770	13132770	LOC100506314	+
chr13	110703631	110705631	LINC00396	+
chr13	110051042	110053042	LINC00399	+
chr13	31375342	31377342	LINC00398	+
chr16	29464411	29466411	SLX1A-SULT1A3	+
chr1	224400981	224402981	LOC101927143	-
chr2	101593623	101595623	LOC101927142	-
chr8	83822338	83824338	LOC101927141	+
chr5	35048240	35050240	AGXT2	-
chr19	32077094	32079094	THEG5	+
chr5	39425335	39427335	DAB2	-
chr1	58716211	58718211	DAB1	-
chrY	24047764	24049764	RBMY1D	+
chr12	7258903	7260903	C1RL-AS1	+
chr10	47738303	47740303	FAM25BP	+
chr11	45713326	45715326	MIR7154	-
chr11	64109376	64111376	MIR7155	-
chr1	77523827	77525827	MIR7156	+
chr2	141344254	141346254	MIR7157	-
chr3	19986571	19988571	RAB5A	+
chr4	13485989	13487989	RAB28	-
chr10	73548503	73550503	MIR7152	+
chr12	56365794	56367794	RAB5B	+
chr2	6112793	6114793	MIR7158	+
chr6	33864911	33866911	MIR7159	+
chr8	10584800	10586800	LOC102723313	+
chr4	57394774	57396774	THEGL	+
chr19	43324014	43326014	PSG8-AS1	+
chr3	13921618	13923618	WNT7A	-
chr22	46373008	46375008	WNT7B	-
chr2	96674298	96676298	FAHD2CP	+
chr19	54605994	54607994	OSCAR	-
chr3	39196093	39198093	CSRNP1	-
chr12	51477437	51479437	CSRNP2	-
chr2	166324156	166326156	CSRNP3	+
chr11	94473521	94475521	LOC105369438	-
chr11	92648794	92650794	LOC105369431	-
chr8	100906242	100908242	COX6C	-
chr2	111435684	111437684	BUB1	-
chr10	124911759	124913759	BUB3	+
chr7	56184090	56186090	NUPR2	-
chr16	28550495	28552495	NUPR1	-
chr17	56413383	56415383	MIR4736	-
chr14	105194180	105196180	ADSSL1	+
chr1	46047659	46049659	NASP	+
chr17	9082435	9084435	LOC101928266	-
chr11	100860810	100862810	TMEM133	+
chr7	98467673	98469673	TMEM130	-
chr2	98612354	98614354	TMEM131	-
chr11	120193837	120195837	TMEM136	+
chr11	67236748	67238748	TMEM134	-
chr11	86746885	86748885	TMEM135	+
chr11	61127472	61129472	TMEM138	+
chr7	142979991	142981991	TMEM139	+
chr9	100613536	100615536	FOXE1	+
chr1	47879743	47881743	FOXE3	+
chrX	134975579	134977579	CT45A10	-
chr1	62117913	62119913	MGC34796	+
chr18	28933899	28935899	DSG1-AS1	-
chr17	67095773	67097773	MIR4524A	-
chr11	45823622	45825622	SLC35C1	+
chrX	37543008	37545008	XK	+
chr1	145515899	145517899	GNRHR2	-
chrX	2668092	2670092	XG	+
chr11	111383509	111385509	C11orf88	+
chr10	66684276	66686276	LOC101928887	-
chr10	36065229	36067229	PCAT5	+
chr11	66740753	66742753	C11orf86	+
chr11	109290845	109292845	C11orf87	+
chr11	66510206	66512206	C11orf80	+
chr3	180587966	180589966	LOC101928882	-
chr2	233875323	233877323	LOC101928881	+
chr12	55246298	55248298	MUCL1	+
chr4	89442960	89444960	LOC101929134	+
chr3	187007059	187009059	LOC101929130	+
chr7	30722141	30724141	CRHR2	-
chr17	43859645	43861645	CRHR1	+
chr17	54228835	54230835	ANKFN1	+
chr11	61955709	61957709	SCGB1D1	+
chr11	62007723	62009723	SCGB1D2	+
chr11	62066536	62068536	SCGB1D4	-
chr6	4834331	4836331	CDYL	+
chr3	121379795	121381795	HCLS1	-
chr10	8937951	8939951	LOC105755953	+
chr21	33957845	33959845	TCP10L	-
chr17	60353016	60355016	TBC1D3P2	-
chr19	10676702	10678702	KRI1	-
chr7	97881563	97883563	TECPR1	-
chr14	102827248	102829248	TECPR2	+
chr7_gl000195_random	86719	88719	LOC102724219	-
chrY	26194161	26196161	CDY1	-
chr12	120966964	120968964	COQ5	-
chr12	7245043	7247043	C1R	-
chr19	58377127	58379127	UBE2CP5	+
chr11	31846113	31848113	PAUPAR	+
chr5	72249807	72251807	FCHO2	+
chr19	17860285	17862285	FCHO1	+
chr13	28562774	28564774	URAD	-
chr4	6711606	6713606	MRFAP1L1	-
chr6	1061309	1063309	HCG4	-
chr9	40681818	40683818	LOC105379450	+
chr6	1234225	1236225	HCG9	+
chr2	74757024	74759024	AUP1	-
chr1	148874039	148876039	LOC101927429	+
chr7	86781633	86783633	LOC101927420	-
chr5	124370523	124372523	LOC101927421	+
chr14	90040559	90042559	FOXN3-AS2	+
chr15	33011066	33013066	LOC100131315	-
chr16	87326058	87328058	LOC101928682	-
chr17	46016888	46018888	PNPO	+
chr10	26725265	26727265	APBB1IP	+
chr1	2158133	2160133	SKI	+
chr16	5116146	5118146	C16orf89	-
chr4	41360647	41362647	LIMCH1	+
chr16	27076218	27078218	C16orf82	+
chr3	98241910	98243910	CLDND1	-
chr16	46865319	46867319	C16orf87	-
chr16	67698716	67700716	C16orf86	+
chr20	47892714	47894714	ZFAS1	+
chr8	95274547	95276547	GEM	-
chr12	107166333	107168333	RIC8B	+
chr11	205510	207510	RIC8A	+
chrX	49186103	49188103	GAGE8	+
chr17	79371520	79373520	BAHCC1	+
chr5	140769482	140771482	PCDHGA8	+
chr5	140780519	140782519	PCDHGA9	+
chr5	140716326	140718326	PCDHGA2	+
chr5	140721600	140723600	PCDHGA3	+
chr5	140708251	140710251	PCDHGA1	+
chr5	140751650	140753650	PCDHGA6	+
chr5	140760305	140762305	PCDHGA7	+
chr5	140732591	140734591	PCDHGA4	+
chr5	140741897	140743897	PCDHGA5	+
chr18	19409049	19411049	MIR1-2	-
chr7	155753325	155755325	LOC389602	+
chr17	80192543	80194543	MIR6787	+
chrX	54070607	54072607	PHF8	-
chr4	184018462	184020462	WWC2	+
chrX	133505341	133507341	PHF6	+
chr3	52442523	52444523	PHF7	+
chr9	96336908	96338908	PHF2	+
chr6	64343706	64345706	PHF3	+
chr6	33376772	33378772	PHF1	+
chr15	62357175	62359175	C2CD4A	+
chr15	62457482	62459482	C2CD4B	-
chr19	409170	411170	C2CD4C	-
chr1	151813033	151815033	C2CD4D	-
chrX	49214648	49216648	GAGE4	+
chrX	49214677	49216677	GAGE7	+
chr17	7655637	7657637	RPL29P2	+
chr6	2172969	2174969	VARS2	+
chr12	56433685	56435685	RPS26	+
chr1	153961230	153963230	RPS27	+
chr10	79791517	79793517	RPS24	+
chr11	118889057	118891057	RPS25	-
chr5	81574235	81576235	RPS23	-
chr8	56987140	56989140	RPS20	-
chr20	60960120	60962120	RPS21	+
chr19	8384383	8386383	RPS28	+
chr14	50053134	50055134	RPS29	-
chr17	3337135	3339135	OR1E2	-
chr17	3017887	3019887	OR1E3	+
chr17	3301704	3303704	OR1E1	-
chrX	77041755	77043755	ATRX	-
chr16	89724193	89726193	CHMP1A	-
chrX	62891382	62893382	ARHGEF9-IT1	-
chr2	27357543	27359543	PREB	-
chr15	85060078	85062078	GOLGA6L5P	-
chr6	105850999	105852999	PREP	-
chr1	161655042	161657042	RPL31P11	-
chr14	93531796	93533796	ITPK1-AS1	+
chr6	305194	307194	LOC100129636	+
chr17	37886816	37888816	MIEN1	-
chr5	37838539	37840539	GDNF-AS1	+
chr9	117900688	117902688	LOC101928748	-
chr2	15701472	15703472	NBAS	-
chr10	102987350	102989350	LBX1-AS1	+
chr2	201752049	201754049	NIF3L1	+
chr16	28735642	28737642	MIR6862-1	-
chr16	28735642	28737642	MIR6862-2	-
chr12	66563852	66565852	TMBIM4	-
chr9	94396532	94398532	MIR3910-1	+
chr2	219157300	219159300	TMBIM1	-
chr9	94398627	94400627	MIR3910-2	-
chr11	635304	637304	DRD4	+
chr4	9781257	9783257	DRD5	+
chr11	113346001	113348001	DRD2	-
chr3	113897899	113899899	DRD3	-
chr5	174871163	174873163	DRD1	-
chr10	131263447	131265447	MGMT	+
chr1	53905693	53907693	SLC25A3P1	-
chr16	74641042	74643042	GLG1	-
chr11	62493951	62495951	TTC9C	+
chr19	40724306	40726306	TTC9B	-
chr19	50083829	50085829	NOSIP	-
chr7	116594388	116596388	ST7-AS1	-
chr7	116785646	116787646	ST7-AS2	-
chr21	33458608	33460608	LINC00159	-
chr21	26804013	26806013	LINC00158	-
chr10	101417133	101419133	ENTPD7	+
chr15	23253241	23255241	GOLGA8IP	+
chr14	74486026	74488026	ENTPD5	-
chr8	23315244	23317244	ENTPD4	-
chr3	40426646	40428646	ENTPD3	+
chr9	139948503	139950503	ENTPD2	-
chr10	97513672	97515672	ENTPD1	+
chr9	140335901	140337901	ENTPD8	-
chr9	15420781	15422781	SNAPC3	+
chr19	7983193	7985193	SNAPC2	+
chr14	62227074	62229074	SNAPC1	+
chr15	66790153	66792153	SNAPC5	-
chr9	139292889	139294889	SNAPC4	-
chr7	5963776	5965776	RSPH10B	+
chr3	48883369	48885369	PRKAR2A-AS1	+
chr9	97848376	97850376	MIR3074	-
chr2	177040893	177042893	HAGLROS	+
chr3	57234280	57236280	HESX1	-
chr19	36870105	36872105	ZFP14	-
chr12	27599567	27601567	ARNTL2-AS1	-
chr20	62256587	62258587	MHENCR	+
chr6	147478060	147480060	LUADT1	+
chr6	7389942	7391942	CAGE1	-
chr20	33757739	33759739	PROCR	+
chr11	194760	196760	ODF3	+
chr9	131216284	131218284	ODF2	+
chr8	103561847	103563847	ODF1	+
chr17	9725388	9727388	GSG1L2	-
chr17	8241157	8243157	ODF4	+
chr10	62774032	62776032	LINC00845	+
chr10	60757277	60759277	LINC00844	+
chr5	180255956	180257956	LINC00847	+
chr10	44402743	44404743	LINC00841	+
chr10	44352858	44354858	LINC00840	+
chr10	47151400	47153400	LINC00842	-
chr17	6897383	6899383	ALOX12	+
chr3	10668492	10670492	ATP2B2-IT2	-
chr20	30863453	30865453	KIF3B	+
chr2	26205443	26207443	KIF3C	-
chr5	132073270	132075270	KIF3A	-
chr20	18357692	18359692	LINC00851	+
chr9	103233519	103235519	TMEFF1	+
chr2	193059659	193061659	TMEFF2	-
chr22	30877743	30879743	SDC4P	-
chr2	74054042	74056042	STAMBP	+
chr4	38784611	38786611	TLR10	-
chr21	45232448	45234448	AATBC	-
chr7	22705152	22707152	LOC401312	-
chr3	151589430	151591430	SUCNR1	+
chr20	55106301	55108301	FAM209B	+
chr19	3606831	3608831	TBXA2R	-
chr14	82000205	82002205	SEL1L	-
chr20	55097784	55099784	FAM209A	+
chr19	49552368	49554368	CGB8	-
chr19	49545101	49547101	CGB5	+
chr19	49558997	49560997	CGB7	-
chr6	107780779	107782779	PDSS2	-
chr10	26984352	26986352	PDSS1	+
chr19	49527632	49529632	CGB3	-
chr10	70512928	70514928	SNORD98	+
chr1	28905334	28907334	SNORD99	-
chrX	85088784	85090784	MIR1321	+
chr5	180670376	180672376	SNORD95	-
chr19	54173221	54175221	MIR1323	+
chr8	10682953	10684953	MIR1322	-
chr1	11986485	11988485	KIAA2013	-
chr2	202935975	202937975	KIAA2012	+
chr2	29134527	29136527	SNORD92	+
chr7	22894231	22896231	SNORD93	+
chr9	17132988	17134988	CNTLN	+
chr22	28316600	28318600	MIR3199-1	-
chr22	28314513	28316513	MIR3199-2	+
chrX	51425447	51427447	CENPVL2	-
chr18	39100561	39102561	KC6	-
chr16	10674573	10676573	EMP2	-
chrX	51425447	51427447	CENPVL1	-
chr12	13347601	13349601	EMP1	+
chrX	12991225	12993225	TMSB4X	+
chrY	15813446	15815446	TMSB4Y	+
chrX	49089926	49091926	CCDC22	+
chr8	27630170	27632170	CCDC25	-
chr1	44455267	44457267	CCDC24	+
chr1	3666964	3668964	CCDC27	+
chr8	130587264	130589264	CCDC26	-
chr3	10181318	10183318	VHL	+
chr11	27013627	27015627	FIBIN	+
chr5	163894408	163896408	LINC02143	-
chr16	54404370	54406370	LINC02140	-
chr16	59887256	59889256	LINC02141	+
chr5	117064055	117066055	LINC02147	+
chr5	6337405	6339405	LINC02145	-
chr14	54861672	54863672	CDKN3	+
chr5	117616268	117618268	LINC02148	+
chr5	15266669	15268669	LINC02149	-
chr4	52883786	52885786	LRRC66	-
chr21	46221751	46223751	UBE2G2	-
chr17	4269969	4271969	UBE2G1	-
chr6	36408543	36410543	KCTD20	+
chr11	77899675	77901675	KCTD21	-
chr5	997455	999455	LOC100506688	-
chr1	232059579	232061579	DISC1-IT1	+
chr14	24701591	24703591	NEDD8-MDP1	-
chr7	127114936	127116936	LOC100506682	+
chr2	204101163	204103163	CYP20A1	+
chrX	134654599	134656599	DDX26B-AS1	-
chr5	36302004	36304004	RANBP3L	-
chr11	93752377	93754377	HEPHL1	+
chr21	45875167	45877167	LRRC3-AS1	-
chr6	160512113	160514113	LOC729603	+
chrX	20007897	20009897	LOC729609	-
chr10	72573703	72575703	SGPL1	+
chr11	6440341	6442341	APBB1	-
chr4	41216635	41218635	APBB2	-
chr5	139944189	139946189	APBB3	-
chr11	22513565	22515565	LINC01495	-
chr2	219795359	219797359	LINC01494	-
chr17	67955847	67957847	LINC01497	+
chrX	51250293	51252293	LINC01496	-
chr15	48138433	48140433	LINC01491	-
chr12	81154932	81156932	LINC01490	+
chr11	38668407	38670407	LINC01493	+
chr9	106087315	106089315	LINC01492	-
chr11	41734117	41736117	LINC01499	+
chr12	108867466	108869466	LINC01498	-
chr16	1464721	1466721	UNKL	-
chr3	49042494	49044494	WDR6	+
chr9	136999209	137001209	WDR5	+
chr21	44299693	44301693	WDR4	-
chr1	118470371	118472371	WDR3	+
chr5	140998622	141000622	DIAPH1	-
chr4	10118573	10120573	WDR1	-
chr13	60738119	60740119	DIAPH3	-
chr4	71246794	71248794	SMR3B	+
chr22	24059610	24061610	GUSBP11	-
chr4	71224492	71226492	SMR3A	+
chr12	120873892	120875892	COX6A1	+
chr16	31439749	31441749	COX6A2	-
chr20	5490648	5492648	LINC01729	-
chr20	42521357	42523357	LINC01728	+
chr11	111250157	111252157	POU2AF1	-
chr20	12928987	12930987	LINC01723	+
